Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 4 [12160/50000 (24%)], Loss: 1.800017, Top1:53.076, Top5:79.802
Train Epoch: 4 [12800/50000 (26%)], Loss: 1.750990, Top1:52.954, Top5:79.851
Train Epoch: 4 [13440/50000 (27%)], Loss: 1.813702, Top1:52.821, Top5:79.843
Train Epoch: 4 [14080/50000 (28%)], Loss: 1.619484, Top1:52.878, Top5:80.034
Train Epoch: 4 [14720/50000 (29%)], Loss: 1.840350, Top1:52.794, Top5:80.019
Train Epoch: 4 [15360/50000 (31%)], Loss: 1.762413, Top1:52.801, Top5:79.979
Train Epoch: 4 [16000/50000 (32%)], Loss: 1.525245, Top1:52.870, Top5:80.030
Train Epoch: 4 [16640/50000 (33%)], Loss: 1.887974, Top1:52.909, Top5:80.023
Train Epoch: 4 [17280/50000 (35%)], Loss: 1.605116, Top1:52.825, Top5:79.964
Train Epoch: 4 [17920/50000 (36%)], Loss: 1.310951, Top1:52.752, Top5:79.921
Train Epoch: 4 [18560/50000 (37%)], Loss: 1.890630, Top1:52.792, Top5:79.940
Train Epoch: 4 [19200/50000 (38%)], Loss: 2.114518, Top1:52.694, Top5:79.942
Train Epoch: 4 [19840/50000 (40%)], Loss: 2.064764, Top1:52.663, Top5:79.909
Train Epoch: 4 [20480/50000 (41%)], Loss: 1.687062, Top1:52.614, Top5:79.848
Train Epoch: 4 [21120/50000 (42%)], Loss: 1.886096, Top1:52.577, Top5:79.848
Train Epoch: 4 [21760/50000 (43%)], Loss: 1.634931, Top1:52.589, Top5:79.930
Train Epoch: 4 [22400/50000 (45%)], Loss: 2.016154, Top1:52.560, Top5:79.870
Train Epoch: 4 [23040/50000 (46%)], Loss: 1.712647, Top1:52.541, Top5:79.874
Train Epoch: 4 [23680/50000 (47%)], Loss: 2.209769, Top1:52.506, Top5:79.822
Train Epoch: 4 [24320/50000 (49%)], Loss: 1.967217, Top1:52.543, Top5:79.811
Train Epoch: 4 [24960/50000 (50%)], Loss: 1.713327, Top1:52.578, Top5:79.823
Train Epoch: 4 [25600/50000 (51%)], Loss: 2.030159, Top1:52.521, Top5:79.812
Train Epoch: 4 [26240/50000 (52%)], Loss: 1.867262, Top1:52.540, Top5:79.859
Train Epoch: 4 [26880/50000 (54%)], Loss: 1.851960, Top1:52.479, Top5:79.803
Train Epoch: 4 [27520/50000 (55%)], Loss: 1.906343, Top1:52.433, Top5:79.771
